x,y,district_id,State District ID,district_name,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type,Last update,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,Link
63.64722,-142.827,200050,AK-03,Alaska Gateway School District,Southeast Fairbanks Census Area,PO Box 226,Tok,AK,99780,,(907)883-5151,395,30.61,8,43,Rural: Remote,12.9,Regular School District,,0,0,0,0,,,
51.94896,179.6212,200010,AK-04,Aleutian Region School District,Anchorage Municipality,PO Box 92230,Anchorage,AK,99509,,(907)277-2648,18,3,2,43,Rural: Remote,6,Regular School District,,0,0,0,0,,,
55.24504,-161.997,200007,AK-56,Aleutians East Borough School District,Aleutians East Borough,PO Box 429,Sand Point,AK,99661,429,(907)383-5222,235,29,4,43,Rural: Remote,8.1,Regular School District,,0,0,0,0,,,
61.17425,-149.284,200180,AK-05,Anchorage School District,Anchorage Municipality,5530 E Northern Lights Blvd,Anchorage,AK,99504,3135,(907)742-4000,46115,2680.76,99,11,City: Large,17.2,Regular School District,,0,0,0,0,,,
55.13835,-131.47,200525,AK-06,Annette Island School District,Prince of Wales-Hyder Census Area,PO Box 7,Metlakatla,AK,99926,7,(907)886-6332,302,29.5,3,43,Rural: Remote,10.2,Regular School District,,0,0,0,0,,,
64.78369,-164.189,200020,AK-07,Bering Strait School District,Nome Census Area,PO Box 225,Unalakleet,AK,99684,225,(907)624-3611,1973,181.7,15,43,Rural: Remote,10.9,Regular School District,,0,0,0,0,,,
58.74165,-156.967,200030,AK-08,Bristol Bay Borough School District,Bristol Bay Borough,PO BOX 169,Naknek,AK,99633,169,(907)246-4225,107,9.8,3,43,Rural: Remote,10.9,Regular School District,,0,0,0,0,,,
58.25346,-136.321,200730,AK-09,Chatham School District,Hoonah-Angoon Census Area,PO Box 109,Angoon,AK,99820,,(907)788-3302,162,16.1,4,43,Rural: Remote,10.1,Regular School District,,0,0,0,0,,,
60.48847,-146.203,200800,AK-10,Chugach School District,Anchorage Municipality,9312 Vanguard Dr Ste 100,Anchorage,AK,99507,5355,(907)522-7400,514,17.54,4,11,City: Large,29.3,Regular School District,,0,0,0,0,,,
61.7953,-144.134,200070,AK-11,Copper River School District,Valdez-Cordova Census Area,PO Box 108,Glennallen,AK,99588,,(907)822-3234,444,28.17,5,43,Rural: Remote,15.8,Regular School District,,0,0,0,0,,,
60.53014,-145.642,200060,AK-12,Cordova City School District,Valdez-Cordova Census Area,PO Box 1330,Cordova,AK,99574,140,(907)424-3265,351,23.84,3,43,Rural: Remote,14.7,Regular School District,,0,0,0,0,,,
55.48875,-133.112,200090,AK-13,Craig City School District,Prince of Wales-Hyder Census Area,PO Box 800,Craig,AK,99921,,(907)826-3274,514,25.24,4,43,Rural: Remote,20.4,Regular School District,,0,0,0,0,,,
63.82547,-145.698,200100,AK-14,Delta-Greely School District,Southeast Fairbanks Census Area,PO Box 527,Delta Junction,AK,99737,527,(907)895-4657,818,47.5,5,43,Rural: Remote,17.2,Regular School District,,0,0,0,0,,,
63.68204,-150.027,200770,AK-02,Denali Borough School District,Denali Borough,PO Box 280,Healy,AK,99743,280,(907)683-2278,980,30.08,4,43,Rural: Remote,32.6,Regular School District,,0,0,0,0,,,
59.06047,-158.532,200120,AK-15,Dillingham City School District,Dillingham Census Area,PO Box 170,Dillingham,AK,99576,,(907)842-5223,467,38.33,3,43,Rural: Remote,12.2,Regular School District,,0,0,0,0,,,
64.67604,-146.548,200600,AK-16,Fairbanks North Star Borough School District,Fairbanks North Star Borough,520 Fifth Ave,Fairbanks,AK,99701,4756,(907)452-2000,13275,777.42,37,13,City: Small,17.1,Regular School District,,0,0,0,0,,,
64.74142,-156.873,200130,AK-17,Galena City School District,Yukon-Koyukuk Census Area,PO Box 299,Galena,AK,99741,299,(907)656-1883,5007,64.7,4,23,Suburb: Small,77.4,Regular School District,,0,0,0,0,,,
59.0984,-135.576,200270,AK-18,Haines Borough School District,Haines Borough,PO Box 1289,Haines,AK,99827,1289,(907)766-6725,260,18.48,3,43,Rural: Remote,14.1,Regular School District,,0,0,0,0,,,
58.12201,-135.431,200300,AK-19,Hoonah City School District,Hoonah-Angoon Census Area,PO Box 157,Hoonah,AK,99829,157,(907)945-3613,118,10.43,1,43,Rural: Remote,11.3,Regular School District,,0,0,0,0,,,
55.20584,-132.82,200330,AK-20,Hydaburg City School District,Prince of Wales-Hyder Census Area,PO Box 109,Hydaburg,AK,99922,109,(907)285-3491,97,9.5,2,43,Rural: Remote,10.2,Regular School District,,0,0,0,0,,,
62.70455,-156.155,200520,AK-21,Iditarod Area School District,Yukon-Koyukuk Census Area,PO Box 90,McGrath,AK,99627,,(907)524-1221,325,18.26,8,43,Rural: Remote,17.8,Regular School District,,0,0,0,0,,,
58.37291,-134.178,200210,AK-22,Juneau Borough School District,Juneau City and Borough,10014 Crazy Horse Dr,Juneau,AK,99801,,(907)523-1702,4745,285.16,15,33,Town: Remote,16.6,Regular School District,,0,0,0,0,,,
56.97532,-133.904,200360,AK-23,Kake City School District,Prince of Wales-Hyder Census Area,PO Box 450,Kake,AK,99830,,(907)785-3741,104,10.64,1,43,Rural: Remote,9.8,Regular School District,,0,0,0,0,,,
