district_id,state,district_name,longitude,latitude,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,Link
200050,AK,Alaska Gateway School District,-142.827,63.64722,0,0,0,0,,,
200010,AK,Aleutian Region School District,179.6212,51.94896,0,0,0,0,,,
200007,AK,Aleutians East Borough School District,-161.997,55.24504,0,0,0,0,,,
200180,AK,Anchorage School District,-149.284,61.17425,0,0,0,0,,,
200525,AK,Annette Island School District,-131.47,55.13835,0,0,0,0,,,
200020,AK,Bering Strait School District,-164.189,64.78369,0,0,0,0,,,
200030,AK,Bristol Bay Borough School District,-156.967,58.74165,0,0,0,0,,,
200730,AK,Chatham School District,-136.321,58.25346,0,0,0,0,,,
200800,AK,Chugach School District,-146.203,60.48847,0,0,0,0,,,
200070,AK,Copper River School District,-144.134,61.7953,0,0,0,0,,,
200060,AK,Cordova City School District,-145.642,60.53014,0,0,0,0,,,
200090,AK,Craig City School District,-133.112,55.48875,0,0,0,0,,,
200100,AK,Delta-Greely School District,-145.698,63.82547,0,0,0,0,,,
200770,AK,Denali Borough School District,-150.027,63.68204,0,0,0,0,,,
200120,AK,Dillingham City School District,-158.532,59.06047,0,0,0,0,,,
200600,AK,Fairbanks North Star Borough School District,-146.548,64.67604,0,0,0,0,,,
200130,AK,Galena City School District,-156.873,64.74142,0,0,0,0,,,
200270,AK,Haines Borough School District,-135.576,59.0984,0,0,0,0,,,
200300,AK,Hoonah City School District,-135.431,58.12201,0,0,0,0,,,
200330,AK,Hydaburg City School District,-132.82,55.20584,0,0,0,0,,,
200520,AK,Iditarod Area School District,-156.155,62.70455,0,0,0,0,,,
200210,AK,Juneau Borough School District,-134.178,58.37291,0,0,0,0,,,
200360,AK,Kake City School District,-133.904,56.97532,0,0,0,0,,,
200005,AK,Kashunamiut School District,-165.594,61.52956,0,0,0,0,,,
200390,AK,Kenai Peninsula Borough School District,-151.723,59.98367,0,0,0,0,,,https://covid19.kpbsd.org/dashboard
200150,AK,Ketchikan Gateway Borough School District,-131.107,55.44994,0,0,0,0,,,
200450,AK,Klawock City School District,-133.086,55.55643,,,,,,,
200480,AK,Kodiak Island Borough School District,-153.918,57.7044,,,,,,6,https://kiborough.maps.arcgis.com/apps/opsdashboard/index.html#/25d4e24efaae4dc59c727e3fc30d32ae
200760,AK,Kuspuk School District,-158.036,61.52355,,,,,,,
200485,AK,Lake and Peninsula Borough School District,-156.413,58.10851,,,,,,,
200001,AK,Lower Kuskokwim School District,-163.435,60.21332,,,,,,,https://www.lksd.org/news/bethel_schools_move_to_high_risk
200003,AK,Lower Yukon School District,-163.19,62.28359,,,,,,,
200510,AK,Matanuska-Susitna Borough School District,-149.619,62.27909,,,,,1,1,https://www.matsuk12.us/coronavirus
200006,AK,Mount Edgecumbe High School Agency,-135.350471,57.05322,,,,,,,
200540,AK,Nenana City School District,-149.084,64.53605,,,,,,,
200570,AK,Nome Public Schools,-165.415,64.50574,,,,,,,
200610,AK,North Slope Borough School District,-153.473,69.44934,,,,,,,
200625,AK,Northwest Arctic Borough School District,-160.021,67.00507,,,,,,,
200630,AK,Pelican City School District,-136.215,57.95923,,,,,,,
200660,AK,Petersburg Borough School District,-133.009,57.11246,,,,,,,
200670,AK,Pribilof School District,-170.406,57.04951,,,,,,,
200680,AK,Saint Mary's School District,-163.244,62.06278,,,,,,,
200240,AK,Sitka School District,-135.367,57.1932,,,,,,,
200690,AK,Skagway School District,-135.338,59.56038,,,,,,,
200700,AK,Southeast Island School District,-133.224,55.72925,,,,,,,
200710,AK,Southwest Region School District,-158.267,59.54333,,,,,,,
200715,AK,Tanana City School District,-152.055,65.184,,,,,,,
200720,AK,Unalaska City School District,-166.528,53.9101,,,,,,,
200780,AK,Valdez City School District,-146.317,61.08362,,,,,,,
200810,AK,Wrangell Public School District,-132.344,56.31742,,,,,,,
200840,AK,Yakutat School District,-140.417,60.01745,,,,,,,
200775,AK,Yukon Flats School District,-145.259,66.71969,,,,,,,
200862,AK,Yukon-Koyukuk School District,-154.325,65.63448,,,,,,,
200004,AK,Yupiit School District,-161.419,60.89563,,,,,,,
100009,AL,Al Inst Deaf And Blind,-86.10269,33.43451,,,,,,,
100018,AL,Alabama School of Fine Arts,-86.813096,33.521224,,,,,,,
100002,AL,Alabama Youth Services,-86.09341,32.36545,,,,,,,
100190,AL,Alabaster City,-86.82417,33.226114,,,,,,,
100005,AL,Albertville City,-86.20939,34.268086,,,,,,,
100030,AL,Alexander City,-85.958438,32.94113,,,,,,,
100060,AL,Andalusia City,-86.483488,31.327783,,,,,,,
100090,AL,Anniston City,-85.8265,33.65876,,,,,,,
100100,AL,Arab City,-86.488256,34.327719,,,,,,,
100120,AL,Athens City,-86.946778,34.81388,,,,,,,
100180,AL,Attalla City,-86.108227,33.998694,,,,,,,
100210,AL,Auburn City,-85.47712,32.61253,,,,,,,
100240,AL,Autauga County,-86.473537,32.462911,,,,,,,
100270,AL,Baldwin County,-87.787828,30.912007,,,,,,,
100300,AL,Barbour County,-85.447909,31.87729,,,,,,,
100330,AL,Bessemer City,-86.96125,33.39503,,,,,,,
100360,AL,Bibb County,-87.124181,32.945928,,,,,,,
100390,AL,Birmingham City,-86.80192,33.51961,,,,,,,
100420,AL,Blount County,-86.47434,33.945305,,,,,,,
100012,AL,Boaz City,-86.15989,34.212847,,,,,,,
100450,AL,Brewton City,-87.07236,31.11757,,,,,,,
100480,AL,Bullock County,-85.71344,32.145205,,,,,,,
100510,AL,Butler County,-86.628683,31.815256,,,,,,,
100540,AL,Calhoun County,-85.8265,33.65876,,,,,,,
100600,AL,Chambers County,-85.39988,32.897519,,,,,,,
100630,AL,Cherokee County,-85.67843,34.151744,,,,,,,
100188,AL,Chickasaw City,-88.083642,30.766337,,,,,,,
100660,AL,Chilton County,-86.621652,32.868585,,,,,,,
100690,AL,Choctaw County,-88.233042,32.079642,,,,,,,
100720,AL,Clarke County,-87.772135,31.705365,,,,,,,
100750,AL,Clay County,-85.839,33.27348,,,,,,,
100780,AL,Cleburne County,-85.57528,33.64831,,,,,,,
100810,AL,Coffee County,-86.056396,31.410123,,,,,,,
100840,AL,Colbert County,-87.68671,34.71607,,,,,,,
100870,AL,Conecuh County,-86.969606,31.454859,,,,,,,
100900,AL,Coosa County,-86.218155,32.889594,,,,,,,
100930,AL,Covington County,-86.481402,31.321522,,,,,,,
100960,AL,Crenshaw County,-86.26627,31.70923,,,,,,,
100990,AL,Cullman City,-86.840652,34.179101,,,,,,,
101020,AL,Cullman County,-86.84792,34.17033,,,,,,,
101050,AL,Dale County,-85.619269,31.425394,,,,,,,
101080,AL,Daleville City,-85.711139,31.315593,,,,,,,
101110,AL,Dallas County,-87.02282,32.41279,,,,,,,
101170,AL,Decatur City,-86.98205,34.605873,,,,,,,
101140,AL,DeKalb County,-85.84206,34.50092,,,,,,,
101200,AL,Demopolis City,-87.835195,32.51412,,,,,,,
101230,AL,Dothan City,-85.435123,31.204963,,,,,,,
101260,AL,Elba City,-86.101899,31.42302,,,,,,,
101290,AL,Elmore County,-86.23195,32.56369,,,,,,,
101320,AL,Enterprise City,-85.85462,31.31516,,,,,,,
101350,AL,Escambia County,-87.07168,31.10441,,,,,,,
101380,AL,Etowah County,-86.055559,34.022263,,,,,,,
101410,AL,Eufaula City,-85.151312,31.868273,,,,,,,
101440,AL,Fairfield City,-86.915172,33.47442,,,,,,,
101470,AL,Fayette County,-87.83249,33.689365,,,,,,,
101530,AL,Florence City,-87.67545,34.802035,,,,,,,
101560,AL,Fort Payne City,-85.76957,34.48327,,,,,,,
101590,AL,Franklin County,-87.72888,34.50779,,,,,,,
101620,AL,Gadsden City,-86.008805,34.014035,,,,,,,
101640,AL,Geneva City,-85.879262,31.042513,,,,,,,
101660,AL,Geneva County,-85.879952,31.044267,,,,,,,
101680,AL,Greene County,-87.88918,32.841086,,,,,,,
100202,AL,Gulf Shores City,-87.688785,30.27452,,,,,,,
101690,AL,Guntersville City,-86.304075,34.34915,,,,,,,
101710,AL,Hale County,-87.593801,32.707324,,,,,,,
101720,AL,Haleyville City,-87.608012,34.226182,,,,,,,
101730,AL,Hartselle City,-86.931374,34.446424,,,,,,,
101740,AL,Henry County,-85.251934,31.567531,,,,,,,
101760,AL,Homewood City,-86.808326,33.477141,,,,,,,
100007,AL,Hoover City,-86.765964,33.406586,,,,,,,
101770,AL,Houston County,-85.396699,31.220717,,,,,,,
101800,AL,Huntsville City,-86.61621,34.72007,,,,,16,16,https://www.huntsvillecityschools.org/reset-plan/general-information/covid-19-facility-impact-reports
101830,AL,Jackson County,-86.033305,34.66737,,,,,,,
101860,AL,Jacksonville City,-85.76527,33.814784,,,,,,,
101890,AL,Jasper City,-87.277625,33.83424,,,,,,,
101920,AL,Jefferson County,-86.792646,33.487006,,,,,,,
101950,AL,Lamar County,-88.1065,33.7538,,,,,,,
101980,AL,Lanett City,-85.191231,32.868201,,,,,,,
102010,AL,Lauderdale County,-87.67545,34.802035,,,,,,,
102040,AL,Lawrence County,-87.292583,34.47515,,,,,,,
102070,AL,Lee County,-85.388037,32.622697,,,,,,,
100011,AL,Leeds City,-86.551365,33.546295,,,,,,,
102100,AL,Limestone County,-86.972312,34.801218,,,,,,,
102130,AL,Linden City,-87.794475,32.30317,,,,,,,
102160,AL,Lowndes County,-86.580667,32.180651,,,,,,,
102190,AL,Macon County,-85.690965,32.424535,,,,,,,
100008,AL,Madison City,-86.7449,34.686703,,,,,,,
102220,AL,Madison County,-86.593576,34.727576,,,,,,,
102250,AL,Marengo County,-87.794475,32.30317,,,,,,,
102310,AL,Marion County,-87.995003,34.115923,,,,,,,
100006,AL,Marshall County,-86.286699,34.305016,,,,,,,
102350,AL,Midfield City,-86.911281,33.458883,,,,,,,
102370,AL,Mobile County,-88.16845,30.72528,,,,1,,,https://www.wkrg.com/mobile-county/dodge-elementary-teacher-dies-from-covid-19/
102400,AL,Monroe County,-87.317825,31.517967,,2,,1,,,https://wgxa.tv/news/coronavirus/monroe-county-schools-releases-covid-19-report
102430,AL,Montgomery County,-86.31208,32.37495,,,,,,,
102480,AL,Morgan County,-86.900116,34.529036,,,,,,,
102490,AL,Mountain Brook City,-86.753717,33.501933,,,,,,,
102520,AL,Muscle Shoals City,-87.66771,34.74243,,,,,,,
