district_id,state,district_name,longitude,latitude,State District ID,County Name*,Street Address,City,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type,Last update,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,Link
200050,AK,Alaska Gateway School District,-142.827,63.64722,AK-03,Southeast Fairbanks Census Area,PO Box 226,Tok,99780,,(907)883-5151,395,30.61,8,43,Rural: Remote,12.9,Regular School District,,0,0,0,0,,,
200010,AK,Aleutian Region School District,179.6212,51.94896,AK-04,Anchorage Municipality,PO Box 92230,Anchorage,99509,,(907)277-2648,18,3,2,43,Rural: Remote,6,Regular School District,,0,0,0,0,,,
200007,AK,Aleutians East Borough School District,-161.997,55.24504,AK-56,Aleutians East Borough,PO Box 429,Sand Point,99661,429,(907)383-5222,235,29,4,43,Rural: Remote,8.1,Regular School District,,0,0,0,0,,,
200180,AK,Anchorage School District,-149.284,61.17425,AK-05,Anchorage Municipality,5530 E Northern Lights Blvd,Anchorage,99504,3135,(907)742-4000,46115,2680.76,99,11,City: Large,17.2,Regular School District,,0,0,0,0,,,
200525,AK,Annette Island School District,-131.47,55.13835,AK-06,Prince of Wales-Hyder Census Area,PO Box 7,Metlakatla,99926,7,(907)886-6332,302,29.5,3,43,Rural: Remote,10.2,Regular School District,,0,0,0,0,,,
200020,AK,Bering Strait School District,-164.189,64.78369,AK-07,Nome Census Area,PO Box 225,Unalakleet,99684,225,(907)624-3611,1973,181.7,15,43,Rural: Remote,10.9,Regular School District,,0,0,0,0,,,
200030,AK,Bristol Bay Borough School District,-156.967,58.74165,AK-08,Bristol Bay Borough,PO BOX 169,Naknek,99633,169,(907)246-4225,107,9.8,3,43,Rural: Remote,10.9,Regular School District,,0,0,0,0,,,
200730,AK,Chatham School District,-136.321,58.25346,AK-09,Hoonah-Angoon Census Area,PO Box 109,Angoon,99820,,(907)788-3302,162,16.1,4,43,Rural: Remote,10.1,Regular School District,,0,0,0,0,,,
200800,AK,Chugach School District,-146.203,60.48847,AK-10,Anchorage Municipality,9312 Vanguard Dr Ste 100,Anchorage,99507,5355,(907)522-7400,514,17.54,4,11,City: Large,29.3,Regular School District,,0,0,0,0,,,
200070,AK,Copper River School District,-144.134,61.7953,AK-11,Valdez-Cordova Census Area,PO Box 108,Glennallen,99588,,(907)822-3234,444,28.17,5,43,Rural: Remote,15.8,Regular School District,,0,0,0,0,,,
200060,AK,Cordova City School District,-145.642,60.53014,AK-12,Valdez-Cordova Census Area,PO Box 1330,Cordova,99574,140,(907)424-3265,351,23.84,3,43,Rural: Remote,14.7,Regular School District,,0,0,0,0,,,
200090,AK,Craig City School District,-133.112,55.48875,AK-13,Prince of Wales-Hyder Census Area,PO Box 800,Craig,99921,,(907)826-3274,514,25.24,4,43,Rural: Remote,20.4,Regular School District,,0,0,0,0,,,
200100,AK,Delta-Greely School District,-145.698,63.82547,AK-14,Southeast Fairbanks Census Area,PO Box 527,Delta Junction,99737,527,(907)895-4657,818,47.5,5,43,Rural: Remote,17.2,Regular School District,,0,0,0,0,,,
200770,AK,Denali Borough School District,-150.027,63.68204,AK-02,Denali Borough,PO Box 280,Healy,99743,280,(907)683-2278,980,30.08,4,43,Rural: Remote,32.6,Regular School District,,0,0,0,0,,,
200120,AK,Dillingham City School District,-158.532,59.06047,AK-15,Dillingham Census Area,PO Box 170,Dillingham,99576,,(907)842-5223,467,38.33,3,43,Rural: Remote,12.2,Regular School District,,0,0,0,0,,,
200600,AK,Fairbanks North Star Borough School District,-146.548,64.67604,AK-16,Fairbanks North Star Borough,520 Fifth Ave,Fairbanks,99701,4756,(907)452-2000,13275,777.42,37,13,City: Small,17.1,Regular School District,,0,0,0,0,,,
200130,AK,Galena City School District,-156.873,64.74142,AK-17,Yukon-Koyukuk Census Area,PO Box 299,Galena,99741,299,(907)656-1883,5007,64.7,4,23,Suburb: Small,77.4,Regular School District,,0,0,0,0,,,
200270,AK,Haines Borough School District,-135.576,59.0984,AK-18,Haines Borough,PO Box 1289,Haines,99827,1289,(907)766-6725,260,18.48,3,43,Rural: Remote,14.1,Regular School District,,0,0,0,0,,,
