ObjectID,district_id,state,district_name,longitude,latitude,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,total_all,Link
173,1903150,IA,Adel DeSoto Minburn Comm School District,-94.020947,41.618859,,13,,4,,,17,https://sites.google.com/adm.k12.ia.us/coronavirus/home/covid-19-cases-at-adm?authuser=2
174,1903060,IA,AGWSR Comm School District,-93.04887,42.550133,,1,,,,,1,
175,1903540,IA,Ames Comm School District,-93.637627,42.047495,,5,,3,,,8,https://www.ames.k12.ia.us/district/district/covid-19-dashboard/?fbclid=IwAR3Uq_MTPee11dCdXV_7dyBUZ5YWeRWfugATCCgAcPUUA0ms1HuASoCWHQo
177,1903570,IA,Anamosa Comm School District,-91.286849,42.106255,,3,,,,,3,
178,1903690,IA,Ankeny Comm School District,-93.61765,41.73186,,31,,15,,,46,https://www.ankenyschools.org/district/return-to-learn/
179,1903960,IA,Audubon Comm School District,-94.92264,41.715006,,,,,,,0,
180,1904200,IA,Ballard Comm School District,-93.608689,41.898142,,2,,2,,,4,http://www.ballard.k12.ia.us/
181,1904380,IA,Baxter Comm School District,-93.14896,41.8241,,2,,,,,2,https://docs.google.com/spreadsheets/d/1aWejYDCpLPP5okx5AxWJLYM-z8wF4gbvgkeE60phu2I/edit#gid=0
182,1904680,IA,Belmond-Klemme Comm School District,-93.603448,42.84949,,1,,1,,,2,
183,1905070,IA,Bondurant-Farrar Comm School District,-93.464677,41.698394,,13,,2,,,15,https://www.bfschools.org/Page/1077
184,1905130,IA,Boone Comm School District,-93.88586,42.062663,,8,,6,,,14,https://www.boonecsd.org/notices?rq=covid
185,1905790,IA,Burlington Comm School District,-91.115095,40.7996,,4,,4,,,8,https://docs.google.com/spreadsheets/d/10yvoWpuY-cJY-gndpZDMEiLzJlQSXGOYly2y0M_1fAQ/edit?ts=5f613877#gid=405327542
186,1906000,IA,Calamus-Wheatland Comm School District,-90.839355,41.835975,,,,1,,,1,
187,1906240,IA,Cardinal Comm School District,-92.220335,40.92057,,3,,1,,,4,https://www.cardinalcomet.com/covid19/?fbclid=IwAR0vpI43KLf8-llfJfO9FNQnMMfUEffaJo8SKYH8CmNJdp23JQqojcgARG8
188,1906270,IA,Carlisle Comm School District,-93.487187,41.495735,,4,,2,,,6,https://www.carlislecsd.org/
