district_id,state,district_name,latitude,longitude,date,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,new_unspecified_cases,cumulative_unspecified_cases,source,,,,,,,,,
200001,AK,Lower Kuskokwim School District,60.2133219,-163.4349829,,,,,,,,,,,,,,,,,
200003,AK,Lower Yukon School District,62.2835878,-163.1901714,,,,,,,,,,,,,,,,,
200004,AK,Yupiit School District,60.8956284,-161.4186234,,,,,,,,,,,,,,,,,
200005,AK,Kashunamiut School District,61.5295597,-165.5941259,,,,,,,,,,,,,,,,,
200007,AK,Aleutians East Borough School District,55.2450437,-161.9974772,,,,,,,,,,,,,,,,,
200010,AK,Aleutian Region School District,51.948964,179.6211882,,,,,,,,,,,,,,,,,
200020,AK,Bering Strait School District,64.7836858,-164.1889119,,,,,,,,,,,,,,,,,
200030,AK,Bristol Bay Borough School District,58.7416473,-156.9669094,,,,,,,,,,,,,,,,,
200050,AK,Alaska Gateway School District,63.6472192,-142.8271144,,,,,,,,,,,,,,,,,
200060,AK,Cordova City School District,60.530138,-145.6420649,,,,,,,,,,,,,,,,,
200070,AK,Copper River School District,61.7953012,-144.134037,,,,,,,,,,,,,,,,,
200090,AK,Craig City School District,55.4887459,-133.111568,,,,,,,,,,,,,,,,,
200100,AK,Delta/Greely School District,63.8254742,-145.6983167,,,,,,,,,,,,,,,,,
200120,AK,Dillingham City School District,59.0604666,-158.532251,,,,,,,,,,,,,,,,,
200130,AK,Galena City School District,64.7414218,-156.8733943,,,,,,,,,,,,,,,,,
200150,AK,Ketchikan Gateway Borough School District,55.4499378,-131.1066847,,,,,,,,,,,,,,,,,
200180,AK,Anchorage School District,61.1742503,-149.2843294,,,,,,,,,,,,,,,,,
200210,AK,Juneau Borough School District,58.3729099,-134.1784454,,,,,,,,,,,,,,,,,
200240,AK,Sitka School District,57.1932044,-135.3673965,,,,,,,,,,,,,,,,,
200270,AK,Haines Borough School District,59.0984037,-135.5757906,,,,,,,,,,,,,,,,,
200300,AK,Hoonah City School District,58.1220084,-135.4314281,,,,,,,,,,,,,,,,,
200330,AK,Hydaburg City School District,55.2058418,-132.8204379,,,,,,,,,,,,,,,,,
200360,AK,Kake City School District,56.9753204,-133.9036632,,,,,,,,,,,,,,,,,
200390,AK,Kenai Peninsula Borough School District,59.9836715,-151.7230237,,,,,,,,,,,,,,,,,
200450,AK,Klawock City School District,55.5564254,-133.0861303,,,,,,,,,,,,,,,,,
200480,AK,Kodiak Island Borough School District,57.7044003,-153.9183721,,,,,,,,,,,,,,,,,
200485,AK,Lake and Peninsula Borough School District,58.1085067,-156.4134134,,,,,,,,,,,,,,,,,
200510,AK,Matanuska-Susitna Borough School District,62.2790939,-149.6190939,,,,,,,,,,,,,,,,,
200520,AK,Iditarod Area School District,62.7045483,-156.155269,,,,,,,,,,,,,,,,,
200525,AK,Annette Island School District,55.1383523,-131.4704246,,,,,,,,,,,,,,,,,
200540,AK,Nenana City School District,64.5360539,-149.0836286,,,,,,,,,,,,,,,,,
200570,AK,Nome School District,64.5057413,-165.4152873,,,,,,,,,,,,,,,,,
200600,AK,Fairbanks North Star Borough School District,64.6760436,-146.5481586,,,,,,,,,,,,,,,,,
200610,AK,North Slope Borough School District,69.4493427,-153.4728302,,,,,,,,,,,,,,,,,
200625,AK,Northwest Arctic Borough School District,67.0050655,-160.0210864,,,,,,,,,,,,,,,,,
200630,AK,Pelican City School District,57.9592291,-136.2150664,,,,,,,,,,,,,,,,,
200660,AK,Petersburg Borough School District,57.1124581,-133.0085979,,,,,,,,,,,,,,,,,
200670,AK,Pribilof School District,57.0495083,-170.4062251,,,,,,,,,,,,,,,,,
200680,AK,St. Marys City School District,62.062775,-163.2442565,,,,,,,,,,,,,,,,,
200690,AK,Skagway School District,59.5603794,-135.3382787,,,,,,,,,,,,,,,,,
200700,AK,Southeast Island School District,55.729248,-133.2241939,,,,,,,,,,,,,,,,,
200710,AK,Southwest Region School District,59.5433255,-158.2671226,,,,,,,,,,,,,,,,,
200715,AK,Tanana City School District,65.184004,-152.0551023,,,,,,,,,,,,,,,,,
200720,AK,Unalaska City School District,53.910098,-166.5284187,,,,,,,,,,,,,,,,,
200730,AK,Chatham School District,58.2534617,-136.3207314,,,,,,,,,,,,,,,,,
200760,AK,Kuspuk School District,61.5235521,-158.0360918,,,,,,,,,,,,,,,,,
200770,AK,Denali Borough School District,63.6820386,-150.0270164,,,,,,,,,,,,,,,,,
200775,AK,Yukon Flats School District,66.7196853,-145.2587692,,,,,,,,,,,,,,,,,
200780,AK,Valdez City School District,61.0836208,-146.317179,,,,,,,,,,,,,,,,,
200800,AK,Chugach School District,60.4884737,-146.2030924,,,,,,,,,,,,,,,,,
200810,AK,Wrangell School District,56.317416,-132.343978,,,,,,,,,,,,,,,,,
200840,AK,Yakutat School District,60.0174528,-140.416942,,,,,,,,,,,,,,,,,
200862,AK,Yukon-Koyukuk School District,65.6344779,-154.325196,,,,,,,,,,,,,,,,,
100001,AL,Fort Rucker School District,31.4097368,-85.7458071,,,,,,,,,,,,,,,,,
100003,AL,Maxwell AFB School District,32.3809438,-86.363749,,,,,,,,,,,,,,,,,
100005,AL,Albertville City School District,34.2631303,-86.21066,,,,,,,,,,,,,,,,,
100006,AL,Marshall County School District,34.3821918,-86.305059,,,,,,,,,,,,,,,,,
100007,AL,Hoover City School District,33.3769487,-86.8055789,,,,,,,,,,,,,,,,,
100008,AL,Madison City School District,34.7105329,-86.7622802,,,,,,,,,,,,,,,,,
100011,AL,Leeds City School District,33.546847,-86.5714476,,,,,,,,,,,,,,,,,
100012,AL,Boaz City School District,34.1990204,-86.1551515,,,,,,,,,,,,,,,,,
100013,AL,Trussville City School District,33.6552331,-86.5632401,,,,,,,,,,,,,,,,,
100030,AL,Alexander City City School District,32.8690219,-85.9510825,,,,,,,,,,,,,,,,,
100060,AL,Andalusia City School District,31.3094363,-86.4780311,,,,,,,,,,,,,,,,,
100090,AL,Anniston City School District,33.6734345,-85.8109372,,,,,,,,,,,,,,,,,
100100,AL,Arab City School District,34.3323868,-86.5011665,,,,,,,,,,,,,,,,,
100120,AL,Athens City School District,34.7790209,-86.9507986,,,,,,,,,,,,,,,,,
100180,AL,Attalla City School District,33.9861893,-86.1210365,,,,,,,,,,,,,,,,,
100185,AL,Saraland City School District,30.85401,-88.0972017,,,,,,,,,,,,,,,,,
100188,AL,Chickasaw City School District,30.7714495,-88.0796971,,,,,,,,,,,,,,,,,
100189,AL,Satsuma City School District,30.8578741,-88.0633829,,,,,,,,,,,,,,,,,
100190,AL,Alabaster City School District,33.2269355,-86.7610146,,,,,,,,,,,,,,,,,
100194,AL,Pelham City School District,33.3218302,-86.7421974,,,,,,,,,,,,,,,,,
100195,AL,Pike Road City School District,32.2831878,-85.9656803,,,,,,,,,,,,,,,,,
100210,AL,Auburn City School District,32.607722,-85.4895446,,,,,,,,,,,,,,,,,
100240,AL,Autauga County School District,32.5322367,-86.6464395,,,,,,,,,,,,,,,,,
100270,AL,Baldwin County School District,30.6592183,-87.7460666,,,,,,,,,,,,,,,,,
100300,AL,Barbour County School District,31.8702531,-85.4051035,,,,,,,,,,,,,,,,,
100330,AL,Bessemer City School District,33.3707893,-86.9715684,,,,,,,,,,,,,,,,,
100360,AL,Bibb County School District,33.0158929,-87.1271475,,,,,,,,,,,,,,,,,
100390,AL,Birmingham City School District,33.5274441,-86.799047,,,,,,,,,,,,,,,,,
100420,AL,Blount County School District,33.9773575,-86.56644,,,,,,,,,,,,,,,,,
100450,AL,Brewton City School District,31.1091749,-87.0765833,,,,,,,,,,,,,,,,,
100480,AL,Bullock County School District,32.1017589,-85.7172613,,,,,,,,,,,,,,,,,
100510,AL,Butler County School District,31.751667,-86.6819689,,,,,,,,,,,,,,,,,
100540,AL,Calhoun County School District,33.7792078,-85.842799,,,,,,,,,,,,,,,,,
100600,AL,Chambers County School District,32.9155039,-85.3940321,,,,,,,,,,,,,,,,,
100630,AL,Cherokee County School District,34.1761269,-85.6181957,,,,,,,,,,,,,,,,,
100660,AL,Chilton County School District,32.8540514,-86.7266071,,,,,,,,,,,,,,,,,
100690,AL,Choctaw County School District,31.9909539,-88.2488894,,,,,,,,,,,,,,,,,
100720,AL,Clarke County School District,31.6649369,-87.8292633,,,,,,,,,,,,,,,,,
100750,AL,Clay County School District,33.2703999,-85.8635254,,,,,,,,,,,,,,,,,
100780,AL,Cleburne County School District,33.6504892,-85.5219586,,,,,,,,,,,,,,,,,
100810,AL,Coffee County School District,31.3941123,-85.9925944,,,,,,,,,,,,,,,,,
100840,AL,Colbert County School District,34.7040121,-87.8130371,,,,,,,,,,,,,,,,,
100870,AL,Conecuh County School District,31.4309257,-86.9887221,,,,,,,,,,,,,,,,,
100900,AL,Coosa County School District,32.9314453,-86.2434818,,,,,,,,,,,,,,,,,
