district_id,latitude,longitude,county_name,student_count,teacher_count,school_count,district_name,state,date,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,new_unspecified_cases,cumulative_unspecified_cases,source
0100002,,,Jefferson County,,0,0,Alabama Youth Services,AL,2020-09-01,,,,,,,
0100005,34.2631303,-086.2106600,Marshall County,5636,296,6,Albertville City School District,AL,2020-09-01,,,,,,,
0100006,34.3821918,-086.3050590,Marshall County,5652,287,15,Marshall County School District,AL,2020-09-01,,,,,,,
0100007,33.3769487,-086.8055789,Jefferson County,13952,944,18,Hoover City School District,AL,2020-09-01,,,,,,,
0100008,34.7105329,-086.7622802,Madison County,11290,630,11,Madison City School District,AL,2020-09-01,,,,,,,
0100009,,,Talladega County,,0,5,Al Inst Deaf And Blind,AL,2020-09-01,,,,,,,
0100011,33.5468470,-086.5714476,Jefferson County,1950,104,4,Leeds City School District,AL,2020-09-01,,,,,,,
0100012,34.1990204,-086.1551515,Marshall County,2427,137,5,Boaz City School District,AL,2020-09-01,,,,,,,
0100013,33.6552331,-086.5632401,Jefferson County,4693,274,5,Trussville City School District,AL,2020-09-01,,,,,,,
0100015,,,Dallas County,,0,6,SafetyNet Academy Minter,AL,2020-09-01,,,,,,,
0100016,,,Tuscaloosa County,,0,1,Bryce Adolescent School,AL,2020-09-01,,,,,,,
0100018,,,Jefferson County,,0,0,Alabama School of Fine Arts,AL,2020-09-01,,,,,,,
0100019,,,Jefferson County,,0,1,United Ability,AL,2020-09-01,,,,,,,
0100020,,,Bibb County,,0,1,Boyd School,AL,2020-09-01,,,,,,,
0100021,,,Tuscaloosa County,,0,1,BrewerPorch Childrens Center,AL,2020-09-01,,,,,,,
0100022,,,Lawrence County,,0,1,Sequel TSI Courtland LLC,AL,2020-09-01,,,,,,,
0100023,,,Madison County,,0,1,Sequel TSI Madison LLC,AL,2020-09-01,,,,,,,
0100024,,,Madison County,,0,1,Sequel TSI New Beginnings LLC,AL,2020-09-01,,,,,,,
0100026,,,Macon County,,0,1,Sequel TSI Tuskegee LLC,AL,2020-09-01,,,,,,,
0100028,,,Bibb County,,0,1,Triwill Portacras,AL,2020-09-01,,,,,,,
0100030,32.8690219,-085.9510825,Tallapoosa County,3065,177,5,Alexander City City School District,AL,2020-09-01,,,,,,,
0100033,,,Jefferson County,,0,3,Glenwood Mental Health Service,AL,2020-09-01,,,,,,,
0100035,,,Lee County,,0,4,The Little Tree Preschool Auburn,AL,2020-09-01,,,,,,,
0100036,,,Lee County,,0,1,Lee County Youth Development Center,AL,2020-09-01,,,,,,,
0100037,,,Mobile County,,0,1,BayPointe Residential Services,AL,2020-09-01,,,,,,,
0100038,,,Coffee County,,0,2,Pathway Inc,AL,2020-09-01,,,,,,,
0100039,,,Talladega County,,0,1,Presbyterian Home for Children,AL,2020-09-01,,,,,,,
0100040,,,Montgomery County,,0,1,Brantwood Childrens Home,AL,2020-09-01,,,,,,,
0100041,,,Shelby County,,0,1,Developing Alabama Youth Prog,AL,2020-09-01,,,,,,,
0100042,,,Houston County,,0,1,Laurel Oaks Behavioral Health Center,AL,2020-09-01,,,,,,,
0100043,,,Etowah County,,0,1,Southeastern Psychiaric Management Inc,AL,2020-09-01,,,,,,,
0100060,31.3094363,-086.4780311,Covington County,1794,98,3,Andalusia City School District,AL,2020-09-01,,,,,,,
0100090,33.6734345,-085.8109372,Calhoun County,1947,111,7,Anniston City School District,AL,2020-09-01,,,,,,,
0100100,34.3323868,-086.5011665,Marshall County,2632,161,4,Arab City School District,AL,2020-09-01,,,,,,,
0100120,34.7790209,-086.9507986,Limestone County,4284,213,8,Athens City School District,AL,2020-09-01,,,,,,,
0100175,,,Mobile County,,0,1,POINTE Academy LLC,AL,2020-09-01,,,,,,,
0100176,,,Elmore County,,0,8,JF Ingram State Technical College,AL,2020-09-01,,,,,,,
0100178,,,Jefferson County,,0,2,Higdon Hill School,AL,2020-09-01,,,,,,,
