date,district_id,state,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,new_unspecified_cases,cumulative_unspecified_cases,source,district_name,latitude,longitude,county_name,street_address,city,zip_code,phone,student_count,teacher_count,school_count
2020-10-10,0200070,AK,,,,,,1,https://www.countryjournal2020.com/2020/08/copper-river-school-district-reports.html,Copper River School District,61.7953,-144.134,Valdez-Cordova Census Area,PO Box 108,Glennallen,99588,(907)822-3234,444,28.17,5
2020-09-19,0200480,AK,,,,,,6,https://kiborough.maps.arcgis.com/apps/opsdashboard/index.html#/25d4e24efaae4dc59c727e3fc30d32ae,Kodiak Island Borough School District,57.7044,-153.918,Kodiak Island Borough,722 Mill Bay Rd,Kodiak,99615,(907)486-7550,2370,152.88,12
2020-09-19,0200510,AK,,,,,1,1,https://www.matsuk12.us/coronavirus,Matanuska-Susitna Borough School District,62.27909,-149.619,Matanuska-Susitna Borough,501 N Gulkana St,Palmer,99645,(907)746-9255,18828,988.38,47
2020-10-16,0200600,AK,,12,,29,,,https://www.k12northstar.org/Page/9928,Fairbanks North Star Borough School District,64.67604,-146.548,Fairbanks North Star Borough,520 Fifth Ave,Fairbanks,99701,(907)452-2000,13275,777.42,37
2020-10-10,0100007,AL,1,93,0,35,,,https://www.hoovercityschools.net/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=11&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=18996&PageID=1,Hoover City,33.406586,-86.765964,Jefferson County,2810 Metropolitan Way,Birmingham,35243,(205)439-1015,13952,943.68,18
2020-09-01,0100008,AL,,14,,1,,,https://www.waaytv.com/content/news/Madison-City-Schools-15-have-coronavirus-170-in-quarantine-572456361.html,Madison City,34.686703,-86.7449,Madison County,211 Celtic Dr,Madison,35758,(256)464-8370,11290,630.13,11
2020-10-03,0100013,AL,,,,,,137,https://www.smore.com/ry79j,Trussville City,33.62072,-86.607755,Jefferson County,113 N Chalkville Rd,Trussville,35173,(205)228-3018,4693,273.9,5
2020-10-08,0100090,AL,,,,4,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Anniston City,33.65876,-85.8265,Calhoun County,PO Box 1500,Anniston,36202,(256)231-5000,1947,110.5,7
2020-10-10,0100120,AL,,,,,,4,"https://www.waaytv.com/content/back-to-school-content/Teachers-staff-at-these-North-Alabama-schools-have-tested-positive-for-coronavirus--572029991.html, https://www.rocketcitynow.com/article/news/education/athens-high-school-football-covid19/525-e10c59c1-409f-4204-a39b-5b1c32249718",Athens City,34.81388,-86.946778,Limestone County,455 US Highway 31 North,Athens,35611,(256)233-6600,4284,213.26,8
2020-10-03,0100180,AL,,,,,,26,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Attalla City,33.998694,-86.108227,Etowah County,101 Case Ave,Attalla,35954,(256)459-7017,1526,94,3
2020-09-01,0100185,AL,,,,,,1,https://www.wkrg.com/local-news/person-at-saraland-high-school-tests-positive-for-covid-19-five-quarantined/,Saraland City,30.79915,-88.07212,Mobile County,4010 Lil Spartan Drive,Saraland,36571,(251)375-5426,3114,171.5,4
2020-09-01,0100189,AL,,,,2,,,https://www.al.com/news/2020/08/alabama-school-system-delays-kindergarten-start-after-2-teachers-test-positive-for-covid-19.html,Satsuma City,30.84754,-88.06763,Mobile County,P O Box 939,Satsuma,36572,(251)380-8200,1533,83,2
2020-10-08,0100190,AL,,12,,8,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Alabaster City,33.226114,-86.82417,Shelby County,10111 Highway 119,Alabaster,35007,(205)663-8400,6184,341.85,5
2020-10-03,0100194,AL,,,,4,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Pelham City,33.287933,-86.811884,Shelby County,3113 Cummings Street,Pelham,35124,(205)624-3700,3306,178.88,4
2020-10-10,0100210,AL,,,,9,,,https://www.wrbl.com/alabama-news-2/auburn-city-schools-navigating-covid-19-quarantines-during-first-week-back-to-class/?fbclid=IwAR2Scys3l2qeExJMCIPX8Qv2HCJjIWz63UeGo-oM1mO8QEN84k-Rs-fEKbY,Auburn City,32.61253,-85.47712,Lee County,PO Box 3270,Auburn,36831,(334)887-2100,8738,499,13
2020-10-10,0100270,AL,,9,,3,,,https://www.waaytv.com/content/back-to-school-content/Teachers-staff-at-these-North-Alabama-schools-have-tested-positive-for-coronavirus--572029991.html,Baldwin County,30.912007,-87.787828,Baldwin County,2600 North Hand Ave,Bay Minette,36507,(251)937-0308,32267,1790.2,44
2020-10-03,0100360,AL,,1,,8,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Bibb County,32.945928,-87.124181,Bibb County,721 Walnut Street,Centreville,35042,(205)926-9881,3236,183.25,9
2020-10-03,0100660,AL,,63,,6,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Chilton County,32.868585,-86.621652,Chilton County,1705 Lay Dam Rd,Clanton,35045,(205)280-3000,7837,415.73,14
2020-10-10,0100840,AL,,,,1,,,https://www.waaytv.com/content/back-to-school-content/Teachers-staff-at-these-North-Alabama-schools-have-tested-positive-for-coronavirus--572029991.html,Colbert County,34.71607,-87.68671,Colbert County,P O Box 538,Tuscumbia,35674,(256)386-8565,2668,172.57,8
2020-10-03,0100990,AL,,,,,,51,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Cullman City,34.179101,-86.840652,Cullman County,301 1st St NE,Cullman,35055,(256)775-5803,3201,177.05,7
2020-10-10,0101170,AL,,2,,,,,https://www.waff.com/2020/08/08/positive-tests-stops-band-practices-austin-high-school/,Decatur City,34.605873,-86.98205,Morgan County,302 4th Ave NE,Decatur,35601,(256)552-3000,8699,542.5,20
2020-10-10,0101320,AL,,3,,,,,https://dothaneagle.com/news/local/updated-enterprise-schools-3-students-positive-for-covid-118-others-sent-home/article_1ec1bdec-dc16-11ea-9cd3-a3d6e1774ab9.html,Enterprise City,31.31516,-85.85462,Coffee County,PO Box 311790,Enterprise,36331,(334)347-9531,6723,348,10
2020-10-03,0101380,AL,,55,,39,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Etowah County,34.022263,-86.055559,Etowah County,3200 W Meighan Blvd,Gadsden,35904,(256)549-7560,8486,505.23,24
2020-10-03,0101470,AL,,,,,,47,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Fayette County,33.689365,-87.83249,Fayette County,PO Box 686,Fayette,35555,(205)932-4611,2302,134.6,6
2020-10-10,0101530,AL,,,,1,,,https://www.waaytv.com/content/back-to-school-content/Teachers-staff-at-these-North-Alabama-schools-have-tested-positive-for-coronavirus--572029991.html,Florence City,34.802035,-87.67545,Lauderdale County,P O Box 10,Florence,35631,(256)768-3000,4254,265.35,9
2020-10-03,0101620,AL,,1,,4,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Gadsden City,34.014035,-86.008805,Etowah County,PO Box 184,Gadsden,35902,(256)543-3512,5194,312.74,15
2020-10-03,0101680,AL,,,,3,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Greene County,32.841086,-87.88918,Greene County,220 Main St,Eutaw,35462,(205)372-4900,1054,64.5,5
2020-10-03,0101710,AL,,2,,2,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Hale County,32.707324,-87.593801,Hale County,1115 Powers St,Greensboro,36744,(334)624-8836,2488,135.5,7
2020-10-03,0101760,AL,,,,,,53,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Homewood City,33.477141,-86.808326,Jefferson County,450 Dale Avenue,Homewood,35209,(205)870-4203,4292,300.02,5
2020-09-30,0101800,AL,,,,,16,16,https://www.huntsvillecityschools.org/reset-plan/general-information/covid-19-dashboard,Huntsville City,34.72007,-86.61621,Madison County,PO Box 1256,Huntsville,35807,(256)428-6810,23993,1433.57,46
2020-10-08,0101800,AL,,,,,41,57,https://www.huntsvillecityschools.org/reset-plan/general-information/covid-19-dashboard,Huntsville City,34.72007,-86.61621,Madison County,PO Box 1256,Huntsville,35807,(256)428-6810,23993,1433.57,46
2020-10-10,0101830,AL,,,,3,,,https://www.waaytv.com/content/back-to-school-content/Teachers-staff-at-these-North-Alabama-schools-have-tested-positive-for-coronavirus--572029991.html,Jackson County,34.66737,-86.033305,Jackson County,PO Box 490,Scottsboro,35768,(256)259-9500,5337,308.39,18
2020-10-03,0101860,AL,,7,,10,,,https://www.jcsboe.org/Page/198,Jacksonville City,33.814784,-85.76527,Calhoun County,123 College St SW,Jacksonville,36265,(256)782-5682,1622,96.5,2
2020-10-03,0101890,AL,,8,,2,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Jasper City,33.83424,-87.277625,Walker County,PO Box 500,Jasper,35502,(205)384-6880,2754,159.6,5
2020-10-03,0101920,AL,,,,,,164,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Jefferson County,33.487006,-86.792646,Jefferson County,2100 18th St S,Birmingham,35209,(205)379-2000,36246,2014.06,58
2020-10-03,0101950,AL,,10,,16,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Lamar County,33.7538,-88.1065,Lamar County,PO Box 1379,Vernon,35592,(205)695-7615,2290,132.94,5
2020-09-02,0102010,AL,,,,2,,,https://www.waaytv.com/content/back-to-school-content/Teachers-staff-at-these-North-Alabama-schools-have-tested-positive-for-coronavirus--572029991.html,Lauderdale County,34.802035,-87.67545,Lauderdale County,PO Box 278,Florence,35631,(256)760-1300,8275,481.75,10
2020-10-10,0102040,AL,,1,,2,,,https://www.msn.com/en-us/news/us/two-alabama-schools-go-online-after-employee-tests-positive-days-before-in-person-classes-start/ar-BB17ScWT?li=BBnb7Kz,Lawrence County,34.47515,-87.292583,Lawrence County,14131 Market St,Moulton,35650,(256)905-2400,4662,280.93,15
2020-10-08,0102070,AL,8,20,5,11,,,https://sites.google.com/lee.k12.al.us/lcscovid-19publicdashboard/home?scrlybrkr=e3af70cd,Lee County,32.622697,-85.388037,Lee County,2410 Society Hill Rd,Opelika,36804,(334)705-6000,9514,568.77,14
2020-09-01,0102100,AL,,,,2,,,https://www.waaytv.com/content/back-to-school-content/Teachers-staff-at-these-North-Alabama-schools-have-tested-positive-for-coronavirus--572029991.html,Limestone County,34.801218,-86.972312,Limestone County,300 S Jefferson St,Athens,35611,(256)232-5353,10612,479.06,17
2020-09-30,0102220,AL,,20,,14,,,https://www.mcssk12.org/Page/13112,Madison County,34.727576,-86.593576,Madison County,PO Box 226,Huntsville,35804,(256)852-2557,19093,1014.67,30
2020-09-30,0102220,AL,,20,,11,,,https://www.mcssk12.org/Page/13112,Madison County,34.727576,-86.593576,Madison County,PO Box 226,Huntsville,35804,(256)852-2557,19093,1014.67,30
2020-09-01,0102370,AL,,,,1,,,https://www.wkrg.com/mobile-county/dodge-elementary-teacher-dies-from-covid-19/,Mobile County,30.72528,-88.16845,Mobile County,PO Box 180069,Mobile,36618,(251)221-4394,53967,3012.02,91
2020-08-25,0102400,AL,,2,,1,,,https://wgxa.tv/news/coronavirus/monroe-county-schools-releases-covid-19-report,Monroe County,31.517967,-87.317825,Monroe County,109 Pickens Street,Monroeville,36460,(251)743-2153,3355,207.5,9
2020-10-10,0102480,AL,,4,,,,,https://www.waaytv.com/content/news/Football-coach-at-Danville-High-School-tests-positive-for-coronavirus-571618081.html,Morgan County,34.529036,-86.900116,Morgan County,235 Highway 67 South,Decatur,35603,(256)353-6442,7574,427.67,19
2020-10-10,0102520,AL,,,,2,,,https://www.waaytv.com/content/back-to-school-content/Teachers-staff-at-these-North-Alabama-schools-have-tested-positive-for-coronavirus--572029991.html,Muscle Shoals City,34.74243,-87.66771,Colbert County,PO Box 2610,Muscle Shoals,35662,(256)389-2600,2812,166.65,7
2020-09-01,0102550,AL,,6,,,,,https://www.freep.com/story/sports/preps/2020/08/07/oneonta-alabama-high-school-football-coronavirus-covid-quarantine/3317710001/,Oneonta City,33.940503,-86.485971,Blount County,28370 State Highway 75,Oneonta,35121,(205)543-1515,1503,88.05,3
2020-10-03,0102650,AL,16,32,5,11,,,https://sites.google.com/a/g.pellcityschools.net/pell-city-schools/,Pell City,33.60542,-86.27364,St. Clair County,3105 15th Avenue N,Pell City,35125,(205)884-4440,4050,222.13,8
2020-10-03,0103030,AL,,96,,20,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Shelby County,33.20847,-86.61207,Shelby County,PO Box 1910,Columbiana,35051,(205)682-7000,20570,1185.44,31
2020-10-03,0103062,AL,,,,,,67,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,St Clair County,33.819883,-86.269665,St. Clair County,410 Roy Dr,Ashville,35953,(205)594-7131,9464,516.41,20
2020-10-03,0103180,AL,,,,,,55,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Talladega County,33.43451,-86.10269,Talladega County,PO Box 887,Talladega,35161,(256)315-5100,7398,410.64,18
2020-10-03,0103360,AL,17,33,12,15,,,https://www.tuscaloosacityschools.com/tracker,Tuscaloosa City,33.20253,-87.56225,Tuscaloosa County,PO Box 038991,Tuscaloosa,35403,(205)759-3560,10538,664.16,20
2020-10-03,0103390,AL,,84,,45,,,https://www.tcss.net/Page/35570,Tuscaloosa County,33.20253,-87.56225,Tuscaloosa County,PO Drawer 2568,Tuscaloosa,35403,(205)758-0411,18709,1012.04,35
2020-10-03,0103450,AL,,17,,7,,,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Walker County,33.83424,-87.277625,Walker County,PO Box 311,Jasper,35502,(205)387-0555,7499,446,18
2020-10-03,0103540,AL,,,,,,15,https://www.wbrc.com/2020/10/02/covid-cases-reported-alabama-public-schools/,Winfield City,33.931565,-87.81726,Marion County,PO Box 70,Winfield,35594,(205)487-4255,1299,80.42,3
2020-10-14,0500015,AR,,12,,6,12,1,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,SHERIDAN SCHOOL DISTRICT,34.30993,-92.399017,Grant County,400 N ROCK,SHERIDAN,72150,(870)942-3135,4171,252,7
2020-09-25,0500017,AR,,,,,9,21,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,PARAGOULD SCHOOL DISTRICT,36.056352,-90.50532,Greene County,1501 W COURT ST,PARAGOULD,72450,(870)239-2105,3337,218,7
2020-09-25,0500019,AR,2,33,0,27,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,BATESVILLE SCHOOL DISTRICT,35.775857,-91.646063,Independence County,955 WATER ST,BATESVILLE,72501,(870)793-6831,3277,230,5
2020-09-22,0500021,AR,,,6,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,IZARD CO. CONS. SCHOOL DIST.,36.146114,-91.92717,Izard County,P O BOX 115,BROCKWELL,72517,(870)258-7700,540,64,3
2020-10-14,0500023,AR,,19,,13,12,0,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,NEWPORT SCHOOL DISTRICT,35.601994,-91.271003,Jackson County,406 WILKERSON DR,NEWPORT,72112,(870)523-1312,1227,129,2
2020-09-25,0500026,AR,5,33,1,8,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,PINE BLUFF SCHOOL DISTRICT,34.224201,-92.004438,Jefferson County,512 S PINE ST,PINE BLUFF,71601,(870)543-4200,3299,231,6
2020-09-25,0500028,AR,,7,,6,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,STAR CITY SCHOOL DISTRICT,33.940995,-91.841284,Lincoln County,206 CLEVELAND ST,STAR CITY,71667,(870)628-4237,1543,107,3
2020-09-25,0500029,AR,,,,,5,16,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,GOSNELL SCHOOL DISTRICT,35.961106,-89.966559,Mississippi County,600 HWY 181 N,GOSNELL,72315,(870)532-4000,1276,115,2
2020-09-25,0500043,AR,7,20,1,7,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,MOUNTAIN HOME SCHOOL DISTRICT,36.333864,-92.403237,Baxter County,2465 RODEO DR,MOUNTAIN HOME,72653,(870)425-1201,3908,275,6
2020-09-25,0500044,AR,,,,,9,22,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,MAGNOLIA SCHOOL DISTRICT,33.267655,-93.238275,Columbia County,P O BOX 649,MAGNOLIA,71754,(870)234-4933,2819,202,5
2020-10-14,0500044,AR,,58,,17,11,1,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,MAGNOLIA SCHOOL DISTRICT,33.267655,-93.238275,Columbia County,P O BOX 649,MAGNOLIA,71754,(870)234-4933,2819,202,5
2020-09-25,0500046,AR,,,,,9,21,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,MANILA SCHOOL DISTRICT,35.885393,-90.180018,Mississippi County,P O BOX 670,MANILA,72442,(870)561-4419,1123,104,3
2020-09-25,0500070,AR,,6,,5,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,CEDAR RIDGE SCHOOL DISTRICT,35.723004,-91.446094,Independence County,1502 N HILL ST,NEWARK,72562,(870)799-8691,733,98,2
2020-09-25,0500074,AR,,,,,5,5,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,LISA ACADEMY CHARTER,,,Pulaski County,21 CORPORATE HILL DR,LITTLE ROCK,72205,(501)227-4942,2218,152,7
2020-09-25,0500082,AR,,20,,25,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,LAWRENCE COUNTY SCHOOL DISTRICT,36.063827,-90.957716,Lawrence County,508 E FREE ST,WALNUT RIDGE,72476,(870)886-6634,942,79,2
2020-09-25,0500398,AR,,,,,,13,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,ESTEM HIGH CHARTER,,,Pulaski County,112 W 3RD ST LEVEL 3,LITTLE ROCK,72201,(501)374-7836,3070,178,5
2020-09-25,0500403,AR,17,94,9,24,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,LITTLE ROCK PREPARATORY ACADEMY,,,Pulaski County,1205 S SCHILLER,LITTLE ROCK,72202,(501)683-1855,361,35,2
2020-09-25,0502250,AR,2,17,,7,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,ALMA SCHOOL DISTRICT,35.479474,-94.219508,Crawford County,P O BOX 2359,ALMA,72921,(479)632-4791,3244,266,4
